event_type_id,name,date,contact_email,phone,website,location,street,city,state,zip,number_of_participants,online_registration_link,ContactFirstName,ContactLastName,ContactTitle,CompanyName,BillingAddress,BillingCity,BillingState,BillingZip,notes,results_url,course_map_url
,Woodridge Rotary 14th Annual Mini-Triathlon (Chicagoland's Largest Mini Tri),8/17/2009,madams@woodridgeparks.org,6303533329 ,http://www.woodridgerotary.org/,"Woodridge, IL",,,,,,,,,,,,,,,,,
,3 Disciplines - Ludington Lighthouse Tri Ludingtons ORINIGNAL AND BEST,8/17/2009,info@3disciplines.com,2315462229 ,http://www.3disciplines.com/,"Ludington, MI",,,,,,,,,,,,,,,,,
,Ganther Race the Lake,8/17/2009,info@midwestsportsevents.com,8004298044 ,http://midwestsportsevents.com/,"Fond Du Lac, WI",,,,,,,,,,,,,,,,,
,2013 Fleet Feet Milwaukee Aquathon #5,8/21/2009,raceday@racedayeventsllc.com,6083165755 ,http://www.racedayeventsllc.com/content/aquathon-series-milwaukee,"Menomonee Falls, WI",,,,,,,,,,,,,,,,,
,DeKalb Corn Classic 10K,8/23/2009,director@dekalbcornclassic.org,8152001056 ,http://www.dekalbcornclassic.org/,"DeKalb, IL",,,,,,,,,,,,,,,,,
,No Baloney Bicycle Ride,8/23/2009,NoBaloneyBicycleRide@gmail.com,3093633066 ,http://ivwnobaloney.com/,"Morton, IL",,,,,,,,,,,,,,,,,
,Thunder Rolls Adventure Race,8/23/2009,gerryv@teamhighprofile.com,5633705235 ,http://thethunderrolls.org/,"Mt. Carroll, IL",,,,,,,,,,,,,,,,,
,Cori's Kids Triathlon,8/23/2009,tmichalik@riverside.il.us,7084427025 ,http://www.riverside.il.us/,"Riverside, IL",,,,,,,,,,,,,,,,,
,Go Girl Triathlon,8/23/2009,tuxbro@indy.rr.com,3177333300 ,http://www.tuxbro.com/entry-info/GoGirl/GoGirl-Home.php,"Indianapolis, IN",,,,,,,,,,,,,,,,,
,Tour de La Porte,8/23/2009,tourdelaporte@iuhealth.org,8772654539 ,http://www.tourdelaporte.org/,"La Porte, IN",,,,,,,,,,,,,,,,,
,Wabash River Ride,8/23/2009,ashirsch@me.com,7654917449 ,http://www.wrcc-in.org/WRR,"West Lafayette, IN",,,,,,,,,,,,,,,,,
,Run for the Rolls,8/23/2009,runfortherolls@hotmail.com,7344750843 ,http://runfortherolls.com/,"Chelsea, MI",,,,,,,,,,,,,,,,,
,Chicago Hal Marathon/ 5k,9/7/2009,info@chicagohalfmarathon.com,18005965990 ,http://www.chicagohalfmarathon.com/Home.htm,"Chicago, IL",,,,,,,,,,,,,,,,http://results.active.com/events/chicago-half-marathon-hyundai-hope-on-wheels-5k--2/half-marathon-wheelers,http://www.chicagohalfmarathon.com/Assets/Chicago+Half+Marathon+Digital+Assets/2012+CHM+Course+Map.pdf
,Run Like A Mother 5k,5/12/2013,,6309861758 ,http://www.runlikeamotherrace.com/,"Hinsdale, IL",,,,,,,,,,,,,,,,,
,Mother's Day 5k & Kids' 1k,5/12/2013,info@cause2compete.com, ,http://cause2compete.com/,"Portage, IN",,,,,,,,,,,,,,,,,http://www.mapmyrun.com/us/portage-in/mother-s-day-5k-route-165054638
,"Ride of Silence, Joliet, IL",5/15/2013,sjbriese@yahoo.com,8157152851 ,,"Joliet, IL",,,,,,,,,,,,,,,,,
,Marion Arts Festival Races,5/18/2013,artrun@pigmantri.com,3193730741 ,,"Marion, IA",,,,,,,,,,,,,,,,,
,Dick Pond Athletics/Carol Stream Park District JUST RUN 5K,5/18/2013,debbie@dickpondathletics.com,6306653316 ,,"Carol Stream, IL",,,,,,,,,,,,,,,,,
,The Epilepsy Foundation of Greater Chicago's 5K,5/18/2013,info@epilepsychicago.org,3129398622 ,http://epilepsychicago.donordrive.com/index.cfm?fuseaction=cms.page&id=1003&eventID=535,"Chicago, IL",,,,,,,,,,,,,,,,,
,Alberto's 11th Annual Women's Cycling Clinic,5/18/2013,Wendy@albertoscycles.com,8474320015 ,,"Highland Park , IL",,,,,,,,,,,,,,,,,
,Dare2Care 5k,5/18/2013,tfrancis@firstassemblyjoliet.org,8154368200 ,,"Joliet, IL",,,,,,,,,,,,,,,,,
,The Lilac Mutt Strut 5K Run & Puppy Path,5/18/2013,ghooper@lombardparks.com,6306207322 ,,"Lombard, IL",,,,,,,,,,,,,,,,,
,Bridge the Gap to Health Race,5/18/2013,btg@quincymedgroup.com, ,,"Quincy, IL",,,,,,,,,,,,,,,,,
,Inaugural Truckin 5K/Walk Kids 1 mile Obstacle Run,5/18/2013,nmaldonado@romeoville.org,8158866222 ,,"Romeoville, IL",,,,,,,,,,,,,,,,,
,Divine Infant Miles for Miracles 5K Run / 1-Mile Health Walk,5/18/2013,dimilesformiracles@yahoo.com,7083437728 ,,"Westchester, IL",,,,,,,,,,,,,,,,,
,Oaklawn Hospital Hospitality Classic,5/18/2013,tchaney@oaklawnhospital.com,2697898134 ,,"Marshall, MI",,,,,,,,,,,,,,,,,
,Midland Community Center's Dow RunWalk,5/18/2013,dowrun@mymcc.org,9898327937 2221,,"Midland, MI",,,,,,,,,,,,,,,,,
,Syttende Mai 20 Mile Run - 41st Annual,5/18/2013,syttendemai@gmail.com,6088737912 ,,"Madison, WI",,,,,,,,,,,,,,,,,
,Tour de Cure Madison - American Diabetes Association,5/18/2013,bfolco@diabetes.org,6082227785 ,,"Madison , WI",,,,,,,,,,,,,,,,,
,Syttende Mai Walk - 27th Annual,5/18/2013,syttendemai@gmail.com,6088737912 ,,"Madison, WI to Stoughton, WI, WI",,,,,,,,,,,,,,,,,
,Chicagoland Spring Marathon & Half Marathon,5/19/2013,info@allcommunityevents.com, ,,"Schaumburg, IL",,,,,,,,,,,,,,,,,
,13th Road Scholars 5K Run / Walk at Rosary High School,5/19/2013,5k@rosaryhs.com,6308960831 19,,"Aurora, IL",,,,,,,,,,,,,,,,,
,3 Disciplines - Gateway Triathlons,5/19/2013,info@3disciplines.com,2315462229 ,,"Carlyle, IL",,,,,,,,,,,,,,,,,
,Chicago Spring Half Marathon & 10K,5/19/2013,chicagoregistration@lifetimefitness.com,7734042281 ,,"Chicago, IL",,,,,,,,,,,,,,,,,
,"13th Annual Darien Dash 10K, 5K and 1 Mile Fun Walk/Run",5/19/2013,clare@darienchamber.com,6309680004 ,,"Darien, IL",,,,,,,,,,,,,,,,,
,Promise Walk & 5K Run for Preeclampsia,5/19/2013,jill.siegel@preeclampsia.org,7733017023 ,,"Elk Grove Village, IL",,,,,,,,,,,,,,,,,
,14th Annual Annie Ryan Run Run,5/19/2013,mnoldan@yahoo.com,6304152324 ,,"Elmhurst, IL",,,,,,,,,,,,,,,,,
,Merrell Down & Dirty presented by Subaru,5/19/2013,downanddirty@mesp.com,8187078866 ,,"Gilberts, IL",,,,,,,,,,,,,,,,,
,Merrell Down & Dirty presented by Subaru - Chicago,5/19/2013,downanddirty@mesp.com,8187078866 ,,"Gilberts, IL",,,,,,,,,,,,,,,,,
,28th Annual Tower Triathlon,5/19/2013,lcole@ymcachicago.org,8474105141 ,,"Niles, IL",,,,,,,,,,,,,,,,,
,Battle of the Badge 5K and Kids Run,5/19/2013,moabrunner@yahoo.com,8478095354 ,,"Palatine, IL",,,,,,,,,,,,,,,,,
,"Rockford Marathon, Half Marathon, and 10k",5/19/2013,jruston@chicagoevents.com,7735846638 ,,"Rockford, IL",,,,,,,,,,,,,,,,,
,Wellness Place Community Cancer 1M Walk & 5K Run,5/19/2013,marketing@wellnessplace.org,8472212400 ,,"S Barrington, IL",,,,,,,,,,,,,,,,,
,Des Plaines River Canoe & Kayak Marathon,5/19/2013,info@canoemarathon.com,8476042445 ,,"Starts: Libertyville, IL",,,,,,,,,,,,,,,,,
,Seven Bridges Season Starters Trail and Road Races,5/19/2013,chamber@woodridgechamber.org,6309607080 ,,"Woodridge, IL",,,,,,,,,,,,,,,,,
,Cellcom Green Bay Marathon,5/19/2013,info@cellcomgreenbaymarathon.com,9204326272 ,,"Green Bay, WI",,,,,,,,,,,,,,,,,
,Madison Mud Run - Spring - Pajama Party!,5/19/2013,raceday@racedayeventsllc.com,6083165755 ,,"Verona, WI",,,,,,,,,,,,,,,,,
,Chicago Athlete Presents Thursday Night Bicycle Racing in Northbrook,5/23/2013,comm@northbrookvelodrome.org,8472912980 ,,"Northbrook, IL",,,,,,,,,,,,,,,,,
,2013 Fleet Feet Madison Aquathon #1,5/23/2013,raceday@racedayeventsllc.com,6083165755 ,,"Madison, WI",,,,,,,,,,,,,,,,,
,Dick Pond Athletics Carol Stream:Walk 2 Run Session Two,5/25/2013,debbie@dickpondathletics.com,6306653316 ,,"Carol Stream, IL",,,,,,,,,,,,,,,,,
,Trifesta Sprint Triathlon,5/25/2013,drrubright96@msn.com,6189427376 ,,"Carterville, IL",,,,,,,,,,,,,,,,,
,Fleet Feet Sports Soldier Field 10 Mile,5/25/2013,Info@SoldierField10.com,7735613338 2,,"Chicago, IL",,,,,,,,,,,,,,,,,
,Bike to Galena Vineyard,5/25/2013,feverriver@sbcglobal.net,8157769425 ,,"Galena, IL",,,,,,,,,,,,,,,,,
,Blackhawk Country Roads 2013,5/25/2013,RPLANTZ@aol.com,8158716379 ,,"Rockton, Illinois, IL",,,,,,,,,,,,,,,,,
,"Salute, Inc. got freedom? 5K/10K run & 5K walk",5/26/2013,saluteinc@yahoo.com,8473598811 ,,"Arlington Heights, IL",,,,,,,,,,,,,,,,,
,Tour de Cure at Bike the Drive,5/26/2013,lmarieadams@diabetes.org,3123461805 6568,,"Chicago, IL",,,,,,,,,,,,,,,,,
,The Gravel Metric - presented by AXLETREE,5/26/2013,tobie@northcentralcyclery.com,8157582403 ,,"DeKalb, IL",,,,,,,,,,,,,,,,,
,MMTT Youth Triathlon,5/26/2013,mmtttri@gmail.com,8479093200 ,,"Geneva, IL",,,,,,,,,,,,,,,,,
,3 Disciplines - 24th Seahorse Challenge,5/26/2013,info@3disciplines.com,2315462229 ,,"Kalamazoo, MI",,,,,,,,,,,,,,,,,
,St. Joseph Jubilee Jog,5/27/2013,Dmabin1@comcast.net,8478646343 ,,"Wilmette, IL",,,,,,,,,,,,,,,,,
,Ridge Run 2013,5/27/2013,patrick6750@sbcglobal.net,7733165478 ,,"chicago, IL",,,,,,,,,,,,,,,,,
,Hoof It for Hephzibah,5/27/2013,tinabhutchinson@aol.com,6308583023 ,,"Glen Ellyn, IL",,,,,,,,,,,,,,,,,
,The 48th Annual Quad Cities Criterium,5/27/2013,bcycleracr@mchsi.com,3097378270 ,,"Rock Island, IL",,,,,,,,,,,,,,,,,
,St. Alexander Memorial Day 5K,5/27/2013,sberry245@yahoo.com, ,,"Villa Park, IL",,,,,,,,,,,,,,,,,
,Kent's Run,5/27/2013,reggie@ptsc.k12.in.us,2193807933 ,,"Valparaiso, IN",,,,,,,,,,,,,,,,,
,Run to Climax,5/27/2013,spmtn@hotmail.com,2696268611 ,,"Climax, MI",,,,,,,,,,,,,,,,,
,Wild West 50K and Relay,5/27/2013,coachdroski@aim.com,6162602669 ,,"Lowell, MI",,,,,,,,,,,,,,,,,
,10 mile Bicycle Race record attempt at the Ed Rudolph Velodrome,5/30/2013,comm@northbrookvelodrome.org,8472912980 ,,"Northbrook, IL",,,,,,,,,,,,,,,,,
,2013 Fleet Feet Milwaukee Aquathon #1,5/30/2013,raceday@racedayeventsllc.com,6083165755 ,,"Menomonee Falls, WI",,,,,,,,,,,,,,,,,
,alphARace,5/31/2013,info@alpharace.com, ,,"Midland, MI",,,,,,,,,,,,,,,,,
,CAMBA Festival of the Trails,5/31/2013,camba@cheqnet.net,7157983599 ,,"Cable, WI",,,,,,,,,,,,,,,,,
,ZERO Prostate Cancer Run Chicago,6/1/2013,tcameron@advuro.com, ,,"Joliet, IL",,,,,,,,,,,,,,,,,
,2013 Run the Ridge 5K and 1K Run/Walk,6/1/2013,maureen@right-fit.com,6308504050 ,,"Burr Ridge, IL",,,,,,,,,,,,,,,,,
,Breakthrough for Brain Tumors 5K,6/1/2013,events@abta.org,8008861281 ,,"Chicago, IL",,,,,,,,,,,,,,,,,
,Humboldt Dream Run 5k/10k,6/1/2013,humboldtdreamrun@gmail.com,7733842200 ,,"Chicago, IL",,,,,,,,,,,,,,,,,
,Tri-Shark Triathlon/Duathlon,6/1/2013,Trimomevents@frontier.com,3098272272 ,,"Hudson, IL",,,,,,,,,,,,,,,,,
,Mazon United Methodist 5K,6/1/2013,mazonmethodist@aol.com,8154839343 ,,"Mazon, IL",,,,,,,,,,,,,,,,,
,Jeanine Nicarico Memorial Funds Glow 5K Run For Reading,6/1/2013,traceyn14@yahoo.com,6306159036 ,,"Naperville, IL",,,,,,,,,,,,,,,,,
,Lew Blond Memorial 5K Run/Walk,6/1/2013,ncarter@district30.org,8474008900 ,,"Northbrook, IL",,,,,,,,,,,,,,,,,
,Oak Brook Park District Cori's Triathlon,6/1/2013,cpiasecki@obparks.org,6306459529 ,,"Oak Brook, IL",,,,,,,,,,,,,,,,,
,5k Foam Fest,6/1/2013,yourock@roundhouseracing.com, ,,"Ottawa, IL",,,,,,,,,,,,,,,,,
,Unlimited Performance 5K,6/1/2013,claurent@kishhospital.org,8157488900 6064,,"Sycamore, IL",,,,,,,,,,,,,,,,,
,Cosley Zoo Run for the Animals,6/1/2013,mwilhelmi@wheatonparks.org,6305105135 ,,"Wheaton, IL",,,,,,,,,,,,,,,,,
,Race Away from Domestic Violence,6/1/2013,tuxbro@indy.rr.com,3177333300 ,,"Indianapolis, IN",,,,,,,,,,,,,,,,,
,Green Bay Triathlon and Kids' Triathlon,6/1/2013,info@midwestsportsevents.com,8004298044 ,,"Green Bay, WI",,,,,,,,,,,,,,,,,
,Pigman Sprint Triathlon,6/2/2013,john@pigmantri.com,3193730741 ,,"Palo, IA",,,,,,,,,,,,,,,,,
,Great Strides 5K,6/2/2013,ethompson@cff.org,3122364491 108,,"Barrington, IL",,,,,,,,,,,,,,,,,
,North Shore 1/2 Marathon and 5k,6/2/2013,info@ramracing.org, ,,"Highland Park, IL",,,,,,,,,,,,,,,,,
,River Grove FOP 5K run/walk,6/2/2013,walterwendel@sbcglobal.net,7083377677 ,,"River Grove, IL",,,,,,,,,,,,,,,,,
,Sterling Park District Brad Onken Memorial SMART Summer Sizzler 5K,6/2/2013,sbrenner@sterlingparks.org,8156226063 ,,"Sterling, IL",,,,,,,,,,,,,,,,,
,The Udder Century,6/2/2013,udder@charter.net, ,,"Union, IL",,,,,,,,,,,,,,,,,
,One Step at a Time 5k,6/2/2013,monteesraces@gmail.com, ,,"Winnketa , IL",,,,,,,,,,,,,,,,,
,Leon's World's Fastest Triathlon,6/2/2013,leonstriathlon@aol.com,2199621866 ,,"Hammond, IN",,,,,,,,,,,,,,,,,
,Diamond Lake Open Water Challenge,6/2/2013,coachcraig@precisionmultisport.com,8476410067 ,,"Cassopolis , MI",,,,,,,,,,,,,,,,,
,Hot! Pursuit MEN's ONLY Triathlon,6/2/2013,info@3disciplines.com,2315462229 ,,"Monroe, MI",,,,,,,,,,,,,,,,,
,2013 Lake Mills Triathlon,6/2/2013,raceday@racedayeventsllc.com,6083165755 ,,"Lake Mills, WI",,,,,,,,,,,,,,,,,
,Run For The Soul 5K,6/2/2013,cjudell@hotmail.com,6083027088 ,,"Whitewater, WI",,,,,,,,,,,,,,,,,
,Stroke and Stride,6/5/2013,registration@lith.org,8479607460 ,,"Lake in the Hills, IL",,,,,,,,,,,,,,,,,
,LaGrange Rocks 5K,6/7/2013,cjjohnston226@sbcglobal.net,7085795898 ,,"La Grange, IL",,,,,,,,,,,,,,,,,
,Ragnar Relay Chicago,6/7/2013,meredith@ragnarrelay.com,8014995024 ,,"Madison, WI",,,,,,,,,,,,,,,,,
,Runnin' With The Horses 5k,6/8/2013,kchurilla@balmoralpark.com,7086721414 ,,"Crete, IL",,,,,,,,,,,,,,,,,
,Route 66 10K,6/8/2013,info@metromilers.com,6184442967 ,,"Edwardsville, IL",,,,,,,,,,,,,,,,,
,Pair Up for Health Trail Race Challenge,6/8/2013,Director@PairUpforHealth.com,3096570908 ,,"Hanna City, IL",,,,,,,,,,,,,,,,,
,Apine Runners Bank of America Chicago Marathon Training Program,6/8/2013,beth@alpinerunners.com,8472098843 ,,"Lake Zurich, IL",,,,,,,,,,,,,,,,,
,Summertime Stride 5K Run & Walk,6/8/2013,info@mokenapark.com,7083902401 ,,"Mokena, IL",,,,,,,,,,,,,,,,,
,St Norbert Block Party 5K Run,6/8/2013,stnorbert5k@gmail.com,8472727090 ,,"Northbrook, IL",,,,,,,,,,,,,,,,,
,Respond Now 5K Run/Walk for Hunger,6/8/2013,aweber@respondnow.org,7084663099 ,,"Olympia Fields, IL",,,,,,,,,,,,,,,,,
,The Prairie Triathlon at NorthPointe,6/8/2013,glarson@northpointehealth.org,8155254040 ,,"Roscoe, IL",,,,,,,,,,,,,,,,,
,Run For The Stars 5K,6/8/2013,racedirector@runforthestars.com,6306680878 ,,"Wheaton, IL",,,,,,,,,,,,,,,,,
,Head for the Cure,6/8/2013,tuxbro@indy.rr.com,3177333300 ,,"Carmel, IN",,,,,,,,,,,,,,,,,
,Outrun the Sun,6/8/2013,tuxbro@indy.rr.com,3177333300 ,,"Indianapolis, IN",,,,,,,,,,,,,,,,,
,Indian/Celina Challenge Marathon & Half Marathon,6/8/2013,chrishollinden@gmail.com,8125474154 ,,"Leopold, IN",,,,,,,,,,,,,,,,,
,Lincoln's Christmas in June Sprint Triathlon,6/8/2013,ethan@cross-roads-events.com,8122080928 ,,"Lincoln City, IN",,,,,,,,,,,,,,,,,
,River City Triathlon,6/8/2013,stacy.lods@casscountyymca.org,5747535141 ,,"Logansport, IN",,,,,,,,,,,,,,,,,
,Brian Diemer Amerikam 5K,6/8/2013,racedirector@diemerrun.com,6162951073 ,,"Grand Rapids , MI",,,,,,,,,,,,,,,,,
,Lake Andrea Open Water Swim,6/8/2013,fitness@plprairiewi.com,2629256742 ,,"Pleasant Prairie, WI",,,,,,,,,,,,,,,,,
,Chicagoland Tour de Cure,6/9/2013,lmarieadams@diabetes.org,3123461805 6568,,"Aurora, IL",,,,,,,,,,,,,,,,,
,F.A.B. 5K,6/9/2013,fab5krun@gmail.com,7737106554 ,,"Arlington Heights, IL",,,,,,,,,,,,,,,,,
,ET Batavia Duathlon,6/9/2013,triathlon@cityofbatavia.net,6304309006 ,,"Batavia, IL",,,,,,,,,,,,,,,,,
,ET Batavia Splash & Dash Youth Aquathlon,6/9/2013,triathlon@cityofbatavia.net,6304309006 ,,"Batavia, IL",,,,,,,,,,,,,,,,,
,ET Batavia Triathlon,6/9/2013,triathlon@cityofbatavia.net,6304309006 ,,"Batavia, IL",,,,,,,,,,,,,,,,,
,Grand Illiniois Trail And Parks bike tour,6/9/2013,chuckace2@gmail.com,3097881845 ,,"Channahon, IL",,,,,,,,,,,,,,,,,
,Aspire 5K Run,6/9/2013,aspire5K@att.net,8153415626 ,,"Joliet, IL",,,,,,,,,,,,,,,,,
,Loyola University Health System 5k Race/Walk & Children's Character Competition,6/9/2013,development@lumc.edu,7082165352 ,,"Maywood, IL",,,,,,,,,,,,,,,,,
,Equestrian Connection Off To The RACES!!!!,6/9/2013,info@equestrianconnection.org,8476158696 ,,"Mettawa, IL",,,,,,,,,,,,,,,,,
,Equestrian Connection Trail Races,6/9/2013,info@equestrianconnection.org,8476158696 ,,"Mettawa, IL",,,,,,,,,,,,,,,,,
,Esprit de She Triathlon,6/9/2013,chicagoregistration@lifetimefitness.com,7734042281 ,,"Naperville, IL",,,,,,,,,,,,,,,,,
,Touring Ride in Rural Indiana (TRIRI) June Bicycle Rally,6/9/2013,triri@triri.org,8123338176 ,,"Madison and Nashville, IN",,,,,,,,,,,,,,,,,
,Grand Rapids Triathlon,6/9/2013,chris@tris4health.com,6168053059 ,,"Ada, MI",,,,,,,,,,,,,,,,,
,3 Disciplines - Big Fish Triathlon,6/9/2013,info@3disciplines.com,2315462229 ,,"Hadley Township, MI",,,,,,,,,,,,,,,,,
,Ramble - 32nd Annual BCLC Ramble Bicycle Event,6/9/2013,Ramble@BikeBCLC.com,5127870193 ,,"Wilmot, WI",,,,,,,,,,,,,,,,,
,2013 Fleet Feet Madison Aquathon #2,6/13/2013,raceday@racedayeventsllc.com,6083165755 ,,"Madison, WI",,,,,,,,,,,,,,,,,
,Lake Andrea Cross-Lake Swim,6/13/2013,fitness@plprairie.com,2629256742 ,,"Pleasant Prairie, WI",,,,,,,,,,,,,,,,,
,2013 Fight For Air Ride,6/14/2013,events@lungsil.org,3127811100 ,,"Crystal Lake, IL",,,,,,,,,,,,,,,,,
,Waffle 5k Shuffle,6/15/2013,avasquez@wooddaleparkdistrict.org,6305959333 ,,"Wood Dale , IL",,,,,,,,,,,,,,,,,
,The Rockford Olympic Triathlon,6/15/2013,Al@Rockfordtriathlon.com,8152222374 ,,"Rockford, IL",,,,,,,,,,,,,,,,,
,Brett's Run,6/15/2013,brettsrun@gmail.com, ,,"Genoa, IL",,,,,,,,,,,,,,,,,
,Rail Splitter Intermediate Triathlon,6/15/2013,triharderpromotions@gmail.com,2173411309 ,,"Lincoln's New Salem State Historic Site, IL",,,,,,,,,,,,,,,,,
,Stovepipe Sprint,6/15/2013,triharderpromotions@gmail.com,2173411309 ,,"Lincoln's New Salem State Historic Site, IL",,,,,,,,,,,,,,,,,
,Strive for 5 5K Run,6/15/2013,mmacella@mppd.org,8476401000 ,,"Mount Prospect, IL",,,,,,,,,,,,,,,,,
,Run For The Cops,6/15/2013,run4thecops@yahoo.com,3129611319 ,,"Palos Park, IL",,,,,,,,,,,,,,,,,
,The Biggest Loser RunWalk Rockford 5K/15K/Kids One Mile Fun Run,6/15/2013,contact@BiggestLoserRunWalk.com, ,,"Rockford, IL",,,,,,,,,,,,,,,,,
,Sesser 5K Fun Run & Walk,6/15/2013,deborah_hutson2000@yahoo.com,6182189145 ,,"Sesser, IL",,,,,,,,,,,,,,,,,
,"Sesser Homecoming 5K - June 15, 2013, 8:00am,Saturday, Sesser, Illinois, The Custard Stand",6/15/2013,deborah_hutson2000@yahoo.com,6182189145 ,,"Sesser, IL",,,,,,,,,,,,,,,,,
,Necktie 5K Walk & Run,6/15/2013,necktierun@yahoo.com,2198402800 ,,"Beverly Shores, IN",,,,,,,,,,,,,,,,,
,Sprint Triathlon #1,6/15/2013,tuxbro@indy.rr.com,3177333300 ,,"Indianapolis, IN",,,,,,,,,,,,,,,,,
,14th Annual Courthouse Classic 5K and 1 Mile Fun Run,6/15/2013,info@courthouseclassic.com,2604634962 101,,"LaGrange, IN",,,,,,,,,,,,,,,,,
,Striders Swan Creek Run,6/15/2013,s.webster@stridersrun.com,6162619706 ,,"Allegan, MI",,,,,,,,,,,,,,,,,
,3 Disciplines - Superkids Try Motor City,6/15/2013,info@3disciplines.com,2315462229 ,,"Detoit, MI",,,,,,,,,,,,,,,,,
,Beat the Grandma 5K,6/15/2013,Coachdroski@aim.com,6162602669 ,,"Grand Rapids, MI",,,,,,,,,,,,,,,,,
,Devil's Elbow 5K,6/15/2013,kristi@redcrownlodge.com, ,,"Arbor Vitae, WI",,,,,,,,,,,,,,,,,
,Summerfest Rock 'n Sole Run,6/15/2013,rocknsole@summerfest.com,8008373378 ,,"Milwaukee, WI",,,,,,,,,,,,,,,,,
,High Cliff Triathlon,6/15/2013,info@midwestsportsevents.com,8004298044 ,,"Sherwood, WI",,,,,,,,,,,,,,,,,
,"Amped Up Adventure Race Series- Aurora, IL Race",6/16/2013,info@ampedupadventurerace.com,6083134535 ,,"Aurora, IL",,,,,,,,,,,,,,,,,
,Daisy Dash 5K and Kids Run,6/16/2013,daisydash@comcast.net,7736178408 ,,"Clarendon Hills, IL",,,,,,,,,,,,,,,,,
,Ricky Byrdsong Memorial Race Against Hate,6/16/2013,raceagainsthate@ywcae-ns.org,8478648445 121,,"Evanston, IL",,,,,,,,,,,,,,,,,
,Youth Make a Difference 5K,6/16/2013,kpaszkiewicz@youthservices-gn.org,8477242620 ,,"Glenview, IL",,,,,,,,,,,,,,,,,
,Lake in the Hills Triathlon,6/16/2013,registration@lith.org,8479607460 ,,"Lake in the Hills, IL",,,,,,,,,,,,,,,,,
,Athleta Iron Girl Lake Zurich Women's Triathlon,6/16/2013,lakezurich@irongirl.com,8138684747 ,,"Lake Zurich, IL",,,,,,,,,,,,,,,,,
,PrairieFest 5K and One Mile Prairie Dog Jog,6/16/2013,csullivan@oswegolandpd.org,6305544425 ,,"Oswego, IL",,,,,,,,,,,,,,,,,
,Father's Day 5K - Kickin' Grass,6/16/2013,cpeters@maine207.org,6306607390 ,,"Park Ridge, IL",,,,,,,,,,,,,,,,,
,Father's Day Run 4 Trails,6/16/2013,Info@VeepRaces.com,2604364824 ,,"Fort Wayne , IN",,,,,,,,,,,,,,,,,
,3 Disciplines - Motor City Triathlon,6/16/2013,info@3disciplines.com,2315462229 ,,"Detoit, MI",,,,,,,,,,,,,,,,,
,Short Run on a Long Day 5k Run/Walk,6/19/2013,cdebella@frankfortparks.org,8154699400 ,,"Frankfort, IL",,,,,,,,,,,,,,,,,
,2013 Fleet Feet Milwaukee Aquathon #2,6/20/2013,raceday@racedayeventsllc.com,6083165755 ,,"Menomonee Falls, WI",,,,,,,,,,,,,,,,,
,Bike MS: Tour de Farms,6/22/2013,melissa.foley@nmss.org,3124231140 ,,"DeKalb , IL",,,,,,,,,,,,,,,,,
,Bud's Run 5K Celebrating Life Run/Walk,6/22/2013,Sharon@budsrun.org,6304660809 ,,"Carol Stream, IL",,,,,,,,,,,,,,,,,
,CYCM 5K,6/22/2013,CYCM5K@aol.com,8154839343 ,,"Morris, IL",,,,,,,,,,,,,,,,,
,Trinity Triumph 5K Run/Walk,6/22/2013,kpasquini@trinity-services.org,8157173750 ,,"New Lenox, IL",,,,,,,,,,,,,,,,,
,12th Annual Raider Classic 5K/10K,6/22/2013,raiderclassic@hotmail.com,2172576227 ,,"Quincy, IL",,,,,,,,,,,,,,,,,
,Indianapolis NITE Ride,6/22/2013,rstevens@saiindy.com,3177677765 3,,"INDIANAPOLIS, IN",,,,,,,,,,,,,,,,,
,Cheetah Chase 5K,6/22/2013,ariegel@binderparkzoo.org,2699791351 ,,"Battle Creek, MI",,,,,,,,,,,,,,,,,
,Concord Classic 5K,6/22/2013,cclassic@frontiernet.net,5175246995 ,,"Concord, MI",,,,,,,,,,,,,,,,,
,6th Annual YWCA 5K Pancake Run - Race for Racial Justice,6/22/2013,development@ywcarockco.com,6087525445 206,,"Janesville, WI",,,,,,,,,,,,,,,,,
,Minocqua Island Swim Challenge,6/22/2013,bwetzler@minocqua.org,7153565266 ,,"Minocqua, WI",,,,,,,,,,,,,,,,,
,"I Scream for 13.1, 5k, & Kids' 1k Yay for Ice Cream!",8/25/2013,tom.taylor@outlook.com, ,,"Portage, IN",,,,,,,,,,,,,,,,,
,3 Disciplines - TRI Holly's Original and Best Triathlon,8/25/2013,info@3disciplines.com,2315462229 ,,"Holly, MI",,,,,,,,,,,"PO Box 458 Gaylord, MI 49734",,,,,,
,Sunset 5K,8/30/2013,tbosack@lith.org,8479607460 ,,"Lake in the Hills, IL",,,,,,,,,,,,,,,,,
,Hell Run,8/31/2013,info@hellrun.com,7735991833 ,,"Chicago, IL",,,,,,,,,,,,,,,,,http://www.hellrun.com/course_chicago.html
,Buffalo Grove Stampede,9/1/2013,cburgess@bgparks.org,8478502125 ,,"Buffalo Grove, IL",,,,,,,,,,,,,,,,,
,The Night Bison Gravel Notcturne,9/1/2013,Contact@rideaxletree.com,8157582403 ,,"DeKalb, IL",,,,,,,,,,,,,,,,,
,The Ripple Effect,9/1/2013,tuxbro@indy.rr.com,3177333300 ,,"Indianapolis, IN",,,,,,,,,,,,,,,,,
